Item #,Latitude,Longitude,Zip_Code,State Abbrv. ,State,Year,TimeStamp,Event (short name),Event Class,Gender of Victim(s)
1,40.728007,-73.795853,11366,NY,New York,2016,2016-08-13T00:00:00,Homicide,crimes against people,male
2,25.740529,-80.222168,33133,FL,Florida,2016,2016-08-03T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),female
3,43.644026,-79.365234,,ON,Ontario,2016,2016-01-18T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male
4,28.536275,-81.381912,32801,FL,Florida,2016,2016-09-11T00:00:00,Vandalism,crimes against property,male and female
5,42.759113,-71.466064,3060,NH,New Hampshire,2016,2016-09-11T00:00:00,Vandalism,crimes against property,male and female
6,40.681419,-73.975067,11217,NY,New York,2016,2016-09-08T00:00:00,Assault,crimes against people,female
7,44.976457,-93.262939,55401,MN,Minnesota,2015,2015-09-30T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
8,36.137875,-95.998535,74107,OK,Oklahoma,2016,2016-08-12T00:00:00,Homicide,crimes against people,male and female
10,39.943436,-75.157471,19147,PA,Pennsylvania,2016,2016-07-26T00:00:00,National Political Speech,public speech (political figures),male and female
11,38.848264,-77.304611,22030,VA,Virginia,2013,2013-05-01T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
12,38.471869,-77.99675,22701,VA,Virginia,2016,2016-09-19T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
14,35.451721,-97.531128,73108,OK,Oklahoma,2016,2016-08-26T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
15,33.751748,-84.063263,30058,GA,Georgia,2016,2016-09-14T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
16,32.3351,-80.6923,29902,SC,South Carolina,2016,2016-09-20T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
17,31.201349,-86.797485,36426,GA,Georgia,2015,2015-09-27T00:00:00,National Political Speech,public speech (political figures),male and female
18,33.523079,-86.797485,35203,AL,Alabama,2014,2014-11-06T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
19,30.315988,-81.655884,32207,FL,Florida,2013,2013-04-23T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
